Hearing Date and Time Start,ALJ,Case
2014-05-20T09:45:00,Cyrus,14-000887
2014-05-28T09:30:00,Manley,14-000452
2014-05-28T09:30:00,Manley,14-000456
2014-05-28T09:30:00,Manley,14-000633
2014-05-28T09:30:00,Manley,14-000670
2014-05-28T09:30:00,Manley,14-000672
2014-05-28T09:30:00,Manley,14-000675
2014-05-28T09:30:00,Manley,14-001109
2014-07-29T10:00:00,,14-001446
2014-08-11T09:00:00,Ballin,14-000158
2014-08-12T13:00:00,Ballin,14-000087
2014-08-12T13:00:00,Ballin,14-000088
2014-09-11T13:00:00,Ballin,14-001500
2014-09-12T08:45:00,Ballin,14-000217
2014-09-15T09:00:00,Ballin,14-000227
2014-09-15T10:30:00,Ballin,14-001010
2014-09-15T13:45:00,Ballin,14-000609
2014-09-15T14:30:00,Ballin,14-000212
2014-09-16T09:00:00,Ballin,14-001019
2014-09-16T09:30:00,Manley,14-000221
2014-09-16T12:45:00,Ballin,14-000727
2014-09-16T13:30:00,Ballin,14-000569
2014-09-16T14:15:00,Ballin,14-000070
2014-09-16T15:15:00,Ballin,14-000959
2014-09-18T10:45:00,Ballin,14-000790
2014-09-18T12:45:00,Ballin,14-000500
2014-09-18T13:30:00,Ballin,14-000700
2014-09-19T09:00:00,Ballin,14-000294
2014-09-19T09:45:00,Ballin,14-000760
2014-09-23T08:45:00,Haggerty,14-000820
2014-09-23T09:00:00,Cyrus,14-000547
2014-09-23T15:00:00,Cyrus,14-000033
2014-09-23T15:15:00,Haggerty,14-000308
2014-09-24T09:45:00,Haggerty,14-000289
2014-09-24T13:00:00,Cyrus,14-000683
2014-09-24T13:00:00,Haggerty,14-000689
2014-09-24T13:00:00,Haggerty,14-000709
2014-09-24T13:00:00,Haggerty,14-000720
2014-09-24T13:45:00,Cyrus,14-000708
2014-09-24T15:15:00,Cyrus,14-000260
2014-09-26T09:00:00,Haggerty,14-001290
2014-09-26T10:00:00,Haggerty,14-001068
2014-09-29T08:45:00,Cyrus,14-000147
2014-09-29T10:30:00,Ballin,14-000129
2014-09-29T13:00:00,Ballin,14-001049
2014-09-29T13:00:00,Cyrus,14-001179
2014-09-29T13:45:00,Ballin,14-000827
2014-09-29T14:00:00,Cyrus,14-000768
2014-09-29T14:00:00,Haggerty,14-000333
2014-09-29T14:30:00,Ballin,14-001030
2014-09-29T14:45:00,Haggerty,14-000391
2014-09-29T14:45:00,Cyrus,14-000687
2014-09-30T09:00:00,Ballin,14-000343
2014-09-30T09:00:00,Cyrus,14-000274
2014-09-30T09:45:00,Cyrus,14-000934
2014-09-30T10:00:00,Ballin,14-000334
2014-09-30T10:30:00,Cyrus,14-000843
2014-09-30T10:45:00,Ballin,14-000424
2014-09-30T13:00:00,Ballin,14-000313
2014-09-30T13:00:00,Cyrus,14-000764
2014-09-30T13:45:00,Ballin,14-000373
2014-09-30T13:45:00,Cyrus,14-000524
2014-09-30T14:30:00,Ballin,14-000493
2014-10-15T15:00:00,Cyrus,14-000440
2014-10-21T10:45:00,Ballin,14-000073
2014-10-23T10:45:00,Cyrus,14-001262
2014-11-03T09:00:00,Cyrus,14-000618
2014-11-05T09:00:00,Haggerty,14-000347
2014-11-10T09:00:00,Haggerty,14-000479
2014-11-10T09:00:00,Haggerty,14-000579
2014-11-17T09:00:00,Haggerty,14-000591
2014-11-17T10:30:00,Haggerty,14-000854
2014-11-17T13:00:00,Ballin,14-001264
2014-11-19T13:00:00,Cyrus,14-000869
2014-11-21T09:45:00,Ballin,14-000574
2014-11-24T09:00:00,Ballin,14-000263
2014-11-24T09:00:00,Cyrus,14-000441
2014-11-24T13:00:00,Cyrus,14-000622
2014-11-24T14:45:00,Cyrus,14-000593
2014-11-25T08:45:00,Ballin,14-000062
2014-11-25T09:00:00,Haggerty,14-001004
2014-11-25T09:00:00,Manley,14-000503
2014-11-25T09:00:00,Manley,14-000739
2014-11-25T09:00:00,Manley,14-000740
2014-11-25T09:00:00,Manley,14-000749
2014-11-25T09:00:00,Manley,14-000750
2014-11-25T09:30:00,Manley,14-000939
2014-11-25T13:00:00,Haggerty,14-000319
2014-11-25T13:00:00,Ballin,14-000762
2014-11-25T13:45:00,Cyrus,14-000019
2014-11-25T14:30:00,Ballin,14-000014
2014-11-25T15:15:00,Cyrus,14-000849
2014-11-25T15:15:00,Haggerty,14-000144
2014-12-01T09:00:00,Ballin,14-000919
2014-12-01T13:00:00,Ballin,14-000840
2014-12-01T13:00:00,Ballin,14-001061
2014-12-02T09:00:00,Ballin,14-000071
2014-12-04T09:00:00,Ballin,14-000290
2014-12-04T13:45:00,Ballin,14-000539
2014-12-05T09:00:00,Ballin,14-000486
2014-12-08T13:45:00,Cyrus,14-000729
2014-12-08T14:30:00,Cyrus,14-000859
2014-12-08T15:15:00,Cyrus,14-000572
2014-12-09T09:00:00,Cyrus,14-000600
2014-12-09T09:45:00,Cyrus,14-000060
2014-12-09T14:00:00,Cyrus,14-000734
2014-12-10T13:00:00,Ballin,14-000510
2014-12-15T09:00:00,Cyrus,14-000490
2014-12-15T10:30:00,Cyrus,14-001260
2014-12-17T13:45:00,Cyrus,14-000611
2015-01-20T09:00:00,Ballin,14-001786
2015-01-22T09:00:00,Ballin,14-001670
2015-01-26T08:45:00,Haggerty,14-000342
2015-01-26T09:00:00,Ballin,14-000930
2015-01-27T13:00:00,Cyrus,14-000108
2015-01-27T13:00:00,Cyrus,14-000118
2015-01-27T14:00:00,Ballin,14-000053
2015-01-27T14:00:00,Ballin,14-000090
2015-01-28T12:45:00,Haggerty,14-000031
2015-01-28T13:00:00,Cyrus,14-001125
2015-01-29T13:00:00,Ballin,14-003030
2015-02-03T09:00:00,Ballin,14-000170
2015-02-03T10:30:00,Ballin,14-000181
2015-02-03T13:00:00,Cyrus,14-000771
2015-02-03T14:00:00,Ballin,14-000690
2015-02-04T09:00:00,Haggerty,14-001000
2015-02-04T10:00:00,Haggerty,14-001188
2015-02-04T13:00:00,Haggerty,14-001024
2015-02-05T09:00:00,Ballin,14-000162
2015-02-09T09:00:00,Haggerty,14-000099
2015-02-09T09:00:00,Haggerty,14-001589
2015-02-17T09:00:00,Cyrus,14-000697
2015-02-18T13:00:00,Manley,14-001240
2015-02-19T09:00:00,Ballin,14-000269
2015-02-19T12:45:00,Ballin,14-000283
2015-02-20T10:00:00,Haggerty,14-000970
2015-02-24T11:00:00,Manley,14-000169
2015-02-25T10:00:00,Cyrus,14-000266
2015-02-26T09:00:00,Manley,14-000345
2015-02-26T09:30:00,Manley,14-000799
2015-02-26T11:00:00,Manley,14-001009
2015-03-03T09:00:00,Manley,14-001357
2015-03-05T09:00:00,Cyrus,14-000448
2015-03-05T10:00:00,Cyrus,14-000447
2015-03-09T10:00:00,Haggerty,14-001393
2015-03-09T13:00:00,Haggerty,14-000964
2015-03-10T13:00:00,Cyrus,14-000301
2015-03-11T13:00:00,Manley,14-000585
2015-03-11T13:00:00,Manley,14-001567
2015-03-12T13:00:00,Ballin,14-001094
2015-03-12T14:00:00,Ballin,14-001101
2015-03-12T15:00:00,Ballin,14-001107
2015-03-16T10:00:00,Haggerty,14-001551
2015-03-17T09:00:00,Manley,14-001863
2015-03-17T13:00:00,Ballin,14-002527
2015-03-18T09:00:00,Manley,14-001483
2015-03-18T09:00:00,Manley,14-001484
2015-03-18T09:00:00,Manley,14-001573
2015-03-18T09:00:00,Manley,14-001633
2015-03-18T09:00:00,Manley,14-001634
2015-03-18T09:00:00,Manley,14-001654
2015-03-19T09:00:00,Ballin,14-000262
2015-03-19T09:00:00,Cyrus,14-000766
2015-03-19T11:00:00,Manley,14-000927
2015-03-19T13:00:00,Cyrus,14-000185
