Claimant ZIP,Employer ZIP,Case,Filed,Status,Employer,Amount Demanded,Amount Resolved,Closed,Industry
60612,60076,14-A00002,2014-01-29,Dismissed,"Alltown Bus Service, Inc.",,,,
60634,60632,14-A00003,2014-01-29,Dismissed,Chris's Bakery,,,,
46307,60601,14-A00004,2014-01-29,Dismissed,UnitedHealth Group,,,2015-03-10,Insurance
60634,60706,14-A00005,2014-02-19,Fully Paid,White Star Sevice,,,2014-12-10,
60659,60202,14-A00006,2014-02-19,Dismissed,R&G Almanza Landscaping,,,,
60804,60402,14-A00007,2014-02-19,Dismissed,Di Nico's Pizza,,,2015-02-24,Restaurant
60174,60194,14-A00008,2014-02-19,Fully Paid,The Gaming Goat,291.11,,,
60007,60010,14-A00009,2014-02-19,Dismissed,"Gregory J Ellis, Esq., LTD",,,,
62702,62712,14-A00010,2014-02-19,Fully Paid,"Sprinklawn Irrigation, Inc.",1078.81,,,Construction/Landscaping
,,14-A00011,2014-02-20,Fully Paid,Complete Personnel Logistics,20500,1400,2014-02-20,
,,14-A00012,2014-02-20,Fully Paid,Minutemen of Illinois,20500,1400,2014-02-20,
,62454,14-A00013,2014-02-21,Fully Paid,Quail Creek Country Club,,,,
60180,60018,14-A00014,2014-02-24,Dismissed,Riverview Construction,,,,
60615,60609,14-A00015,2014-02-24,Dismissed,SOS Intellectual Security,,,,
60440,60148,14-A00017,2014-02-25,Dismissed,"Sungard Investment Systems,LLC",,,,
60647,60652,14-A00018,2014-02-25,Dismissed,Citgo Gas Station,,,2015-09-15,"Food, Beverage & Tobacco"
60641,60090,14-A00019,2014-02-25,Fully Paid,Harbor House Memory Care,11015.32,,2015-08-10,Health Care
67801,60007,14-A00020,2014-02-25,Dismissed,"Hibachi Grill Buffet, Inc.",,,2015-02-03,Restaurant
92881,60585,14-A00021,2014-01-15,Dismissed,"Aspen Technical Staffing, Inc.",,,,
60463,60641,14-A00022,2014-02-25,Dismissed,Domino Express Corp.,,,2015-03-27,
60827,60419,14-A00023,2014-02-25,Dismissed,Dolton Furniture (S&Y Furniture,,,2015-08-31,
60477,60443,14-A00024,2014-02-25,Fully Paid,Planet Honda,1840.92,,2015-08-28,Automotive
60804,60053,14-A00025,2014-02-25,Dismissed,Dino Design Group,,,,
60060,60060,14-A00026,2014-02-25,Dismissed,All Tune and Lube,,,,
60176,61761,14-A00028,2014-02-25,Dismissed,Uptown 138,4000,,2016-03-23,Restaurant
60622,60523,14-A00029,2014-02-25,Dismissed,High Flight Management,,,,
60048,60059,14-A00032,2014-02-25,Fully Paid,Rosen Management Svc,1116.38,,2015-06-15,
60436,60433,14-A00033,2014-02-25,Dismissed,Maciej Gromcak,,,2015-03-09,Construction/Landscaping
60102,60102,14-A00034,2014-02-25,Dismissed,Niko's Lodge,,,,
,60451,14-A00035,2014-02-27,Dismissed,"Reliabe Staffing Group, Inc.",,,,
,60448,14-A00036,2014-02-27,Dismissed,"All Staffing Service, LLC",,,,
60431,60613,14-A00037,2014-02-28,Dismissed,Sammy Miller,,,,
60192,60143,14-A00038,2014-02-28,Dismissed,"Gallagher Bassett Services, Inc.",,,,
60629,60661,14-A00041,2014-03-17,Dismissed,Ameropan Oil Corporation ,,,,
,,14-A00042,2014-03-24,Dismissed,"Country Club Hills Mayor, Dwight Welch",,,,
60632,60638,14-A00044,2014-03-04,Dismissed,Hudson Group,,,,
85348,61822,14-A00045,2014-04-01,Dismissed,Freeman Construction ,,,,
,60618,14-A00046,2014-03-10,Dismissed,,,,2015-03-11,
53098,60031,14-A00047,2014-04-01,Dismissed,Xtreme Natioanl Services,,,,
61820,61820,14-A00048,2014-04-01,Dismissed,Good Fella Bistro Restaurant,1600,,2016-03-23,Restaurant
,60098,14-A00050,2014-03-05,Dismissed,"Corporate Industrial Staffing, Inc.",,,2014-03-12,
,60156,14-A00051,2014-03-03,Dismissed,Industrial Staffing/Flexible Staffing,,,2014-03-12,
,60133,14-A00052,2014-03-05,Dismissed,Personnel Staff. Grp./Most Valuable,,,2014-04-13,
,60070,14-A00053,2014-03-05,Dismissed,Personnel Staff. Grp./Most Valuable,,,2014-03-04,
,60173,14-A00054,2014-03-05,Dismissed,"Roth Staffing Companies, L.P.",6400,6400,2014-06-25,
,60050,14-A00055,2014-03-05,Dismissed,The Agency Staffing,,,2014-03-12,
,60148,14-A00056,2014-03-05,Dismissed,"Diamond Staffing Services, Inc./Crs-Corporate Resource Services",,,,
,60623,14-A00057,2014-03-05,Dismissed,"Custom Staffing, Inc.",,,2014-04-03,
60090,60047,14-A00058,2014-04-02,Dismissed,"Busy Beaver, Inc",,,2015-03-17,
,60018,14-A00059,2014-03-05,Dismissed,Industrial Staffing/Flexible Staffing,,,2014-04-03,
,60707,14-A00060,2014-03-05,Dismissed,Personnel Staff. Grp./Most Valuable,,,2014-04-03,
,60639,14-A00061,2014-03-05,Dismissed,"Custom Staffing, Inc.",,,2014-04-03,
,60618,14-A00062,2014-03-05,Dismissed,Industrial Personnel Ltd.,,,2014-04-03,
60523,60068,14-A00063,2014-04-02,Dismissed,Hi-Q Decorating Inc,,,2015-05-22,
,60452,14-A00064,2014-03-05,Dismissed,"Custom Staffing, Inc",,,2014-04-01,
,62025,14-A00065,2014-04-02,Dismissed,The Goddard School,,,2014-04-22,
,60505,14-A00066,2014-03-05,Dismissed,"Custom Staffing, Inc.",,,2014-03-12,
60426,60634,14-A00067,2014-02-22,Dismissed,"Unique Coatings, Inc.",,,,
,60502,14-A00068,2014-03-05,Dismissed,"Employment Plus, Inc.",,,2014-03-12,
,60137,14-A00069,2014-03-05,Dismissed,"Phoenix Staffing & Management Systems, Inc.",,,2014-03-06,
,60563,14-A00070,2014-03-05,Dismissed,"Roth Staffing Companies, L.P.",,,2014-03-12,
,60030,14-A00071,2014-03-12,Fully Paid,"Clarion Production Services, Inc.",7214.45,,2014-12-01,
,60188,14-A00072,2014-03-05,Dismissed,"Snelling Employment, LLC",,,2014-03-06,
60620,60609,14-A00074,2014-03-13,Dismissed,"Berkshire Refrigerated Warehousing, LLC",,,,
60016,60016,14-A00075,2014-03-13,Dismissed,BGM Consruction,,,,
,60523,14-A00076,2014-03-05,Dismissed,"The Plus Group, Inc.",,,,
,60538,14-A00077,2014-03-05,Dismissed,"Corporate Industrial Staffing, Inc.",,,2014-03-06,
,60451,14-A00079,2014-03-05,Dismissed,"Reliable Staffing Group, Inc.",,,2014-03-12,
,60448,14-A00080,2014-03-05,Fully Paid,"All Staffing Services, LLC",,,2014-04-03,
,60915,14-A00081,2014-03-14,Fully Paid,KankaKee County Training Center,,,2014-10-09,
60540,75093,14-A00082,2014-03-17,Fully Paid,Superior Global Solutions,,,,
,60421,14-A00083,2014-03-05,Dismissed,Industrial Staffing/Flexible Staffing,,,,
60084,60018,14-A00100,2014-03-17,Dismissed,Wintrust Mortgage Corp,,,,
62626,62629,14-A00101,2014-03-17,Dismissed,VCM Inc. (Subway),,,,Restaurant
60008,60131,14-A00102,2014-03-17,Dismissed,J.S. Paluch Co.,,,2015-07-17,Publishing
60402,60302,14-A00103,2014-03-18,Dismissed,West Cook YMCA,,,2015-07-29,
60462,60527,14-A00104,2014-03-18,Fully Paid,Quality Inn & Conference Center,1887.21,,2015-04-03,
60174,60190,14-A00105,2014-03-18,Fully Paid,Range of Motion,851.75,,2016-11-15,Service
60453,60513,14-A00106,2014-03-18,Dismissed,"European Trailer Service, Inc.",,,2015-08-31,Transportation
60484,60827,14-A00107,2014-03-18,Dismissed,CSX Transportation,,,,
60617,60649,14-A00108,2014-03-18,Dismissed,Beauty Plaza,,,,
60657,60712,14-A00109,2014-03-18,Dismissed,Nucare Symphony Healthcare,,,2015-03-16,
,60615,14-A00110,2014-03-18,Dismissed,Siam Thai Restaurant,,,,
60447,60435,14-A00111,2014-03-18,Fully Paid,Kidney Care Center/Germane Nephrology Assoc.,202.1,,2015-10-29,Health Care
60629,60659,14-A00112,2014-03-18,Dismissed,Right-At-Home,,,,
62002,62025,14-A00113,2014-03-18,Fully Paid,Chava's Mexican Restaurant,5390.41,,2014-12-09,Restaurant
,60523,14-A00114,2014-03-19,Dismissed,Blueberry Hill,,,,
,61554,14-A00115,2014-03-18,Dismissed,M & J GENERAL CONTRACTORS INC,,,2015-06-30,
62901,62901,14-A00116,2014-03-18,Dismissed,Happy Reunion Restaurant,,,,Restaurant
62838,62424,14-A00117,2014-03-18,Fully Paid,James Backhoe Service,300,,2014-09-17,Construction/Landscaping
61614,61613,14-A00118,2014-03-18,Fully Paid,The Smo-King Pit,550.51,,2016-05-12,Restaurant
60106,60126,14-A00119,2014-03-18,Dismissed,Nancy's Pizza/Melinds Trattoria Restaurant,,,,
