Status,Filed,Claim Type
Legal,2014-02-25,9 - OT
Open,2014-02-25,8 - MW;#9 - OT
Open,2014-02-25,9 - OT
Open,2014-02-25,8 - MW
Open,2014-03-04,9 - OT
Open,2014-04-02,9 - OT
Awaiting Payment,2014-03-18,9 - OT
Awaiting Payment,2014-03-18,9 - OT
Open,2014-04-02,8 - MW
Legal,2014-04-22,9 - OT
Open,2014-04-22,8 - MW
Open,2014-04-22,9 - OT
Legal,2014-03-06,8 - MW
Open,2014-04-22,8 - MW
Open,2014-04-22,9 - OT
Open,2014-04-22,9 - OT
Awaiting Payment,2014-04-22,8 - MW;#9 - OT
Awaiting Payment,2014-05-14,9 - OT
AG,2014-05-15,9 - OT
Settlement Agreement,2014-05-15,9 - OT
Open,2014-05-22,8 - MW;#9 - OT
Awaiting Payment,2014-05-22,9 - OT
Awaiting Payment,2014-06-05,9 - OT
Awaiting Payment,2014-06-05,9 - OT
Settlement Agreement,2014-06-05,9 - OT
Open,2014-06-19,9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Open,2014-06-26,9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Awaiting Payment,2014-06-26,8 - MW;#9 - OT
Pending Referral To AG,2014-06-26,9 - OT
Awaiting Payment,2014-06-26,9 - OT
Open,2014-06-26,8 - MW;#9 - OT
Settlement Agreement,2014-06-30,8 - MW;#9 - OT
Open,2014-07-08,9 - OT
Open,2014-07-08,9 - OT
Pending Referral To AG,2014-07-08,8 - MW
Awaiting Payment,2014-07-15,9 - OT
Open,2014-07-16,9 - OT
Open,2014-07-16,9 - OT
Open,2014-07-18,9 - OT
Pending Referral To AG,2014-07-24,9 - OT
Open,2014-07-28,9 - OT
Open,2014-07-31,9 - OT
AG,2014-08-04,9 - OT
Awaiting Payment,2014-08-04,8 - MW;#9 - OT
AG,2014-08-08,9 - OT
Open,2014-08-08,9 - OT
Awaiting Payment,2014-08-08,9 - OT
Open,2014-08-15,9 - OT
AG,2014-08-15,8 - MW;#9 - OT
Awaiting Payment,2014-07-23,9 - OT
Awaiting Payment,2014-09-03,9 - OT
Awaiting Payment,2014-09-15,9 - OT
AG,2014-09-15,9 - OT
Awaiting Payment,2014-09-29,9 - OT
AG,2014-09-29,9 - OT
Pending Referral To AG,2014-09-29,9 - OT
Awaiting Payment,2014-09-29,9 - OT
Awaiting Payment,2014-10-15,9 - OT
Awaiting Payment,2014-10-15,8 - MW;#9 - OT
Awaiting Payment,2014-10-15,8 - MW
Pending Referral To AG,2014-10-22,9 - OT
Awaiting Payment,2014-10-22,8 - MW
Awaiting Payment,2014-10-22,9 - OT
AG,2014-10-29,9 - OT
AG,2014-10-29,9 - OT
Open,2014-11-12,9 - OT
AG,2014-11-12,9 - OT
Settlement Agreement,2014-11-17,9 - OT
Open,2014-11-17,9 - OT
AG,2014-11-26,8 - MW;#9 - OT
AG,2014-11-26,8 - MW;#9 - OT
AG,2014-11-26,8 - MW;#9 - OT
Awaiting Payment,2014-11-26,8 - MW;#9 - OT
Awaiting Payment,2014-11-26,9 - OT
Open,2014-11-26,8 - MW
Open,2014-11-26,8 - MW;#9 - OT
Awaiting Payment,2014-12-01,9 - OT
Open,2014-12-02,9 - OT
Open,2014-12-02,9 - OT
Legal,2014-12-03,9 - OT
Awaiting Payment,2014-12-03,9 - OT
AG,2014-12-05,8 - MW
Pending Referral To AG,2014-12-05,9 - OT
Legal,2014-12-05,8 - MW;#9 - OT
AG,2014-12-09,9 - OT
AG,2014-12-10,9 - OT
Awaiting Payment,2014-12-10,9 - OT
Awaiting Payment,2014-12-10,9 - OT
AG,2014-12-30,9 - OT
Awaiting Payment,2015-01-22,9 - OT
Open,2015-01-28,9 - OT
Open,2015-01-28,9 - OT
Settlement Agreement,2015-01-29,8 - MW;#9 - OT
Settlement Agreement,2015-01-29,8 - MW;#9 - OT
Awaiting Payment,2015-03-04,8 - MW;#9 - OT
AG,2015-03-05,9 - OT
Awaiting Payment,2015-04-02,8 - MW;#9 - OT
Open,2015-04-01,9 - OT
Open,2015-01-26,9 - OT
Open,2015-01-13,9 - OT
Open,2015-01-26,9 - OT
Legal,2015-03-19,9 - OT
AG,2015-03-11,9 - OT
Legal,2015-05-13,8 - MW;#9 - OT
AG,2015-04-01,9 - OT
AG,2015-04-06,8 - MW
Open,2015-04-13,8 - MW;#9 - OT
Awaiting Payment,2015-04-01,9 - OT
Awaiting Payment,2015-04-28,8 - MW;#9 - OT
Pending Referral To AG,2015-03-16,9 - OT
Legal,2015-04-08,9 - OT
Awaiting Payment,2015-05-14,9 - OT
Legal,2015-06-01,9 - OT
Legal,2015-05-21,8 - MW
Legal,2015-04-20,8 - MW;#9 - OT
Settlement Agreement,2015-04-22,9 - OT
Awaiting Payment,2015-06-05,9 - OT
Pending Referral To AG,2015-08-28,9 - OT
Awaiting Payment,2015-08-21,8 - MW
Open,2015-06-30,9 - OT
Legal,2015-06-16,9 - OT
AG,2015-06-22,9 - OT
Open,2015-07-01,9 - OT
Open,2015-07-17,9 - OT
Settlement Agreement,2015-07-21,9 - OT
Awaiting Payment,2015-07-20,9 - OT
AG,2015-07-28,9 - OT
Awaiting Payment,2015-07-31,8 - MW;#9 - OT
Awaiting Payment,2015-08-04,9 - OT
Legal,2015-08-13,9 - OT
Pending Referral To AG,2015-08-14,9 - OT
Open,2015-08-25,8 - MW;#9 - OT
AG,2015-08-26,8 - MW;#9 - OT
Awaiting Payment,2015-08-24,9 - OT
Legal,2015-07-13,9 - OT
Legal,2015-09-08,9 - OT
Open,2015-08-07,9 - OT
Awaiting Payment,2015-09-08,9 - OT
Open,2015-09-08,9 - OT
Settlement Agreement,2015-09-09,9 - OT
Open,2015-09-14,9 - OT
Open,2015-09-18,9 - OT
Pending Referral To AG,2015-09-29,9 - OT
Open,2015-09-22,9 - OT
Open,2015-09-23,9 - OT
Open,2015-10-08,9 - OT
Awaiting Payment,2015-10-18,9 - OT
Open,2015-10-27,9 - OT
Open,2015-10-21,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-22,9 - OT
Open,2015-10-21,9 - OT
Open,2015-11-06,8 - MW;#9 - OT
